dt,humidity,pressure,temp_min,feels_like
1772247600,84,1022,274.11,273.13
1772258400,87,1021,274.05,272.59
1772269200,91,1020,273.94,272.15
1772280000,93,1020,273.96,272.26
1772290800,84,1020,277.31,275.15
1772301600,64,1019,280.88,279.21
1772312400,61,1017,282.67,282.1
1772323200,79,1019,280.44,280.44
1772334000,84,1019,278.48,278.48
1772344800,91,1019,276.25,273.09
1772355600,75,1018,275.02,271.09
1772366400,72,1016,275.17,272.04
1772377200,87,1018,273.36,268.55
1772388000,78,1018,274.38,269.69
1772398800,59,1021,276.77,271.91
1772409600,56,1026,272.17,265.36
1772420400,48,1030,269.52,262.52
1772431200,46,1032,268.55,261.55
1772442000,49,1035,267.32,260.32
1772452800,47,1037,266.0,259.0
1772463600,37,1039,267.52,261.52
1772474400,30,1038,270.12,264.47
1772485200,31,1038,271.25,266.77
1772496000,36,1040,271.06,268.42
1772506800,39,1041,270.91,270.91
1772517600,39,1040,271.03,267.99
1772528400,45,1039,271.29,266.98
1772539200,50,1038,271.65,266.99
1772550000,57,1038,273.73,269.02
1772560800,92,1035,274.01,269.82
1772571600,99,1032,273.79,269.69
1772582400,99,1029,274.69,271.67
1772593200,99,1026,274.9,272.91
1772604000,99,1024,275.36,271.96
1772614800,98,1021,276.58,272.81
1772625600,99,1021,277.1,273.82
1772636400,99,1023,277.32,274.32
1772647200,92,1024,279.12,277.99
1772658000,83,1026,280.9,280.34
1772668800,94,1027,278.79,276.38
