city_name,dt,humidity,pressure,temp_min,feels_like
Buffalo,1772928000,96,1008,284.19,283.86
Buffalo,1772938800,99,1010,282.12,278.78
Buffalo,1772949600,91,1013,279.9,276.83
Buffalo,1772960400,93,1015,277.71,275.27
Buffalo,1772971200,91,1016,276.35,275.22
Buffalo,1772982000,77,1017,277.87,275.64
Buffalo,1772992800,71,1016,279.05,275.64
Buffalo,1773003600,73,1015,277.86,274.05
Buffalo,1773014400,85,1016,276.23,272.32
Buffalo,1773025200,82,1016,276.62,272.81
Buffalo,1773036000,88,1016,276.66,273.23
Buffalo,1773046800,85,1015,276.61,273.15
Buffalo,1773057600,81,1014,277.13,273.34
Buffalo,1773068400,62,1013,282.73,279.7
Buffalo,1773079200,50,1012,285.4,283.99
Buffalo,1773090000,50,1010,285.67,284.28
Buffalo,1773100800,61,1012,282.96,280.32
Buffalo,1773111600,76,1014,280.02,276.98
Buffalo,1773122400,83,1016,278.43,275.81
Buffalo,1773133200,93,1019,276.79,276.79
Buffalo,1773144000,91,1020,277.16,275.47
Buffalo,1773154800,77,1018,283.22,282.29
Buffalo,1773165600,81,1015,286.84,286.38
