dt,humidity,pressure,temp_min,feels_like
1772247600,64,1017,291.69,294.43
1772258400,73,1017,289.85,291.74
1772269200,79,1014,289.05,288.76
1772280000,84,1014,289.08,288.92
1772290800,88,1014,288.41,288.29
1772301600,68,1014,291.26,290.9
1772312400,74,1014,290.93,290.7
1772323200,76,1014,289.58,289.26
1772334000,81,1015,288.05,287.71
1772344800,85,1016,287.4,287.1
1772355600,89,1016,286.55,286.27
1772366400,91,1015,286.12,285.85
1772377200,92,1016,285.89,285.62
1772388000,82,1017,287.51,287.14
1772398800,82,1017,287.83,287.49
1772409600,79,1016,287.88,287.47
1772420400,83,1017,286.49,286.05
1772431200,87,1017,286.03,285.65
1772442000,88,1017,285.6,285.2
1772452800,89,1016,285.32,284.92
1772463600,88,1017,285.65,285.25
1772474400,78,1019,287.49,287.02
1772485200,73,1018,288.45,287.94
1772496000,74,1017,288.23,287.73
1772506800,84,1018,286.38,285.95
1772517600,86,1018,285.56,285.1
1772528400,90,1018,285.11,284.71
1772539200,90,1018,284.9,284.48
1772550000,90,1018,284.67,284.23
1772560800,78,1020,286.82,286.28
1772571600,74,1019,287.9,287.36
1772582400,75,1018,287.5,286.95
1772593200,82,1019,285.52,284.95
1772604000,83,1020,285.14,284.56
1772614800,82,1020,284.69,284.04
1772625600,81,1019,284.49,283.79
1772636400,81,1020,284.61,283.93
1772647200,67,1021,286.9,286.08
1772658000,56,1020,289.83,289.02
1772668800,61,1019,289.28,288.54
