dt,humidity,pressure,temp_min,feels_like
1772744400,80,1021,278.55,274.61
1772755200,87,1021,275.05,271.68
1772766000,97,1022,276.2,272.12
1772776800,97,1023,274.74,271.35
1772787600,99,1022,273.26,270.98
1772798400,99,1023,273.44,271.54
1772809200,98,1024,275.76,274.43
1772820000,95,1022,278.76,278.76
1772830800,95,1020,280.63,279.6
1772841600,98,1020,279.7,279.7
1772852400,94,1017,284.62,284.28
1772863200,89,1015,287.17,286.95
1772874000,88,1013,286.91,286.64
1772884800,86,1012,286.94,286.62
1772895600,79,1010,289.63,289.4
1772906400,71,1008,292.33,292.16
1772917200,90,1007,286.8,286.57
1772928000,96,1008,284.19,283.86
1772938800,99,1010,282.12,278.78
1772949600,91,1013,279.9,276.83
1772960400,93,1015,277.71,275.27
1772971200,91,1016,276.35,275.22
1772982000,77,1017,277.87,275.64
1772992800,71,1016,279.05,275.64
1773003600,73,1015,277.86,274.05
1773014400,85,1016,276.23,272.32
1773025200,82,1016,276.62,272.81
1773036000,88,1016,276.66,273.23
1773046800,85,1015,276.61,273.15
1773057600,81,1014,277.13,273.34
1773068400,62,1013,282.73,279.7
1773079200,50,1012,285.4,283.99
1773090000,50,1010,285.67,284.28
1773100800,61,1012,282.96,280.32
1773111600,76,1014,280.02,276.98
1773122400,83,1016,278.43,275.81
1773133200,93,1019,276.79,276.79
1773144000,91,1020,277.16,275.47
1773154800,77,1018,283.22,282.29
1773165600,81,1015,286.84,286.38
